Station_Name,Line,Station_Line,Station_Color,geometry
Uhlandstraße,U1,U1,green,POINT(13.325556 52.5025)
Kurfürstendamm,"U1, U9",Intersection,white,POINT(13.332778 52.504167)
Wittenbergplatz,"U1, U2, U3",Intersection,white,POINT(13.343056 52.501944)
Nollendorfplatz,"U1, U2, U3, U4",Intersection,white,POINT(13.353889 52.499167)
Kurfürstenstraße,"U1, U3",Intersection,white,POINT(13.361944 52.4995)
Gleisdreieck,"U1, U2, U3",Intersection,white,POINT(13.375278 52.498833)
Möckernbrücke,"U1, U3, U7",Intersection,white,POINT(13.382778 52.498667)
Hallesches Tor,"U1, U3, U6",Intersection,white,POINT(13.391111 52.497278)
Prinzenstraße,"U1, U3",Intersection,white,POINT(13.406111 52.497833)
Kottbusser Tor,"U1, U3, U8",Intersection,white,POINT(13.418056 52.498667)
Görlitzer Bahnhof,"U1, U3",Intersection,white,POINT(13.428 52.4985)
Schlesisches Tor,"U1, U3",Intersection,white,POINT(13.441667 52.500333)
Warschauer Straße,"U1, U3",Intersection,white,POINT(13.4491 52.5046)
Ruhleben,U2,U2,red,POINT(13.241389 52.525556)
Olympia-Stadion,U2,U2,red,POINT(13.25 52.517222)
Neu-Westend,U2,U2,red,POINT(13.261111 52.515556)
Thedor-Heuss-Platz,U2,U2,red,POINT(13.273056 52.509722)
Kaiserdamm,U2,U2,red,POINT(13.282222 52.51)
Sophie-Charlotte-Platz,U2,U2,red,POINT(13.296667 52.510833)
Bismarckstraße,"U2, U7",Intersection,white,POINT(13.304722 52.511389)
Deutsche Oper,U2,U2,red,POINT(13.310556 52.511944)
Ernst-Reuter-Platz,U2,U2,red,POINT(13.321667 52.512778)
Zoologischer Garten,"U2, U9",Intersection,white,POINT(13.3325 52.507222)
Bülowstraße,U2,U2,red,POINT(13.362287 52.497701)
Mendelssohn-Bartholdy-Park,U2,U2,red,POINT(13.375 52.503889)
Postdamer Platz,U2,U2,red,POINT(13.375833 52.509444)
Mohrenstraße,U2,U2,red,POINT(13.384722 52.511667)
Stadtmitte,"U2, U6",Intersection,white,POINT(13.389444 52.512222)
Hausvogteiplatz,U2,U2,red,POINT(13.396667 52.513056)
Spittelmarkt,U2,U2,red,POINT(13.403611 52.511111)
Märkisches Museum,U2,U2,red,POINT(13.408889 52.511944)
Klosterstraße,U2,U2,red,POINT(13.412222 52.516111)
Alexanderplatz,"U2, U5, U8",Intersection,white,POINT(13.411944 52.521389)
Rosa-Luxemburg-Platz,U2,U2,red,POINT(13.410556 52.5275)
Senefelderplatz,U2,U2,red,POINT(13.4125 52.532222)
Eberswalder Straße,U2,U2,red,POINT(13.412222 52.541944)
Schönhauser Allee,U2,U2,red,POINT(13.413889 52.549444)
Vinetastraße,U2,U2,red,POINT(13.413333 52.559444)
Pankow,U2,U2,red,POINT(13.411111 52.566667)
